Path;Class
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\14.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\15.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\16.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\17.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\18.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\19.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\2.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\20.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\21.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\22.jpgRotation-25.jpg;1
